teamsAppId,displayName,id
9f1a4ae0-6ae2-475d-973d-c89687d03753,GCP,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyM5ZjFhNGFlMC02YWUyLTQ3NWQtOTczZC1jODk2ODdkMDM3NTM=
a199d45c-a646-4ad3-b4a9-ca288046bb17,Datadog (Legacy),OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNhMTk5ZDQ1Yy1hNjQ2LTRhZDMtYjRhOS1jYTI4ODA0NmJiMTc=
aa39b2f8-3c8d-4ce1-8b8b-7fe02c59ae3e,Outgoing Webhook,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNhYTM5YjJmOC0zYzhkLTRjZTEtOGI4Yi03ZmUwMmM1OWFlM2U=
b756a1a0-1b2f-42ff-90b5-b2a98281fc83,Breakout rooms,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNiNzU2YTFhMC0xYjJmLTQyZmYtOTBiNS1iMmE5ODI4MWZjODM=
cae3a8a8-1ba9-4517-a708-4e0ab7fab7ee,Room Remote,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjYWUzYThhOC0xYmE5LTQ1MTctYTcwOC00ZTBhYjdmYWI3ZWU=
com.microsoft.teamspace.tab.file.staticviewer.excel,Excel,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIuZmlsZS5zdGF0aWN2aWV3ZXIuZXhjZWw=
com.microsoft.teamspace.tab.file.staticviewer.pdf,PDF,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIuZmlsZS5zdGF0aWN2aWV3ZXIucGRm=
com.microsoft.teamspace.tab.file.staticviewer.powerpoint,PowerPoint,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIuZmlsZS5zdGF0aWN2aWV3ZXIucG93ZXJwb2ludA==
com.microsoft.teamspace.tab.file.staticviewer.visio,Visio,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIuZmlsZS5zdGF0aWN2aWV3ZXIudmlzaW8=
com.microsoft.teamspace.tab.file.staticviewer.word,Word,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIuZmlsZS5zdGF0aWN2aWV3ZXIud29yZA==
com.microsoft.teamspace.tab.files.sharepoint,Document Library,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIuZmlsZXMuc2hhcmVwb2ludA==
com.microsoft.teamspace.tab.notes,OneNote (Legacy),OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIubm90ZXM=
com.microsoft.teamspace.tab.planner,Tasks by Planner and To Do,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIucGxhbm5lcg==
com.microsoft.teamspace.tab.powerbi,Power BI (Legacy),OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIucG93ZXJiaQ==
com.microsoft.teamspace.tab.web,Website,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIud2Vi
com.microsoft.teamspace.tab.wiki,Wiki,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0LnRlYW1zcGFjZS50YWIud2lraQ==
com.microsoftstream.embed.skypeteamstab,Stream,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNjb20ubWljcm9zb2Z0c3RyZWFtLmVtYmVkLnNreXBldGVhbXN0YWI=
d5305801-d9c4-4dd1-aadf-d3cdb0d9d893,Camera,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNkNTMwNTgwMS1kOWM0LTRkZDEtYWFkZi1kM2NkYjBkOWQ4OTM=
d832a33f-28c2-4969-8ad0-4fee681dc5b4,Praise,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNkODMyYTMzZi0yOGMyLTQ5NjktOGFkMC00ZmVlNjgxZGM1YjQ=
eb62d082-2c0a-4672-9252-e8e456f192b1,Recommendations,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNlYjYyZDA4Mi0yYzBhLTQ2NzItOTI1Mi1lOGU0NTZmMTkyYjE=
fb2796fa-25f4-4afc-8e55-6836af2c4921,Asana (Legacy),OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyNmYjI3OTZmYS0yNWY0LTRhZmMtOGU1NS02ODM2YWYyYzQ5MjE=
1c4340de-2a85-40e5-8eb0-4f295368978b,Power BI,OTdjNmQ4YTUtNGNkOC00ZTgyLWJlYTgtNzg1MzljMTBhOTY5IyMxYzQzNDBkZS0yYTg1LTQwZTUtOGViMC00ZjI5NTM2ODk3OGI=
